1754597435.569066 server started (12692): version 3.5a, socket /tmp/tmux-0/default, protocol 8
1754597435.569098 on FreeBSD 14.3-RELEASE FreeBSD 14.3-RELEASE releng/14.3-n271432-8c9ce319fef7 GENERIC
1754597435.569111 using libevent 2.1.12-stable poll
1754597435.569117 using ncurses 6.5 20240427
1754597435.569247 input_key_build: 0x10e003 (PasteStart) is \033[200~
1754597435.569256 input_key_build: 0x10e004 (PasteEnd) is \033[201~
1754597435.569261 input_key_build: 0x10e195 (F1) is \033OP
1754597435.569265 input_key_build: 0x10e196 (F2) is \033OQ
1754597435.569272 input_key_build: 0x10e197 (F3) is \033OR
1754597435.569276 input_key_build: 0x10e198 (F4) is \033OS
1754597435.569280 input_key_build: 0x10e199 (F5) is \033[15~
1754597435.569284 input_key_build: 0x10e19a (F6) is \033[17~
1754597435.569287 input_key_build: 0x10e19b (F7) is \033[18~
1754597435.569291 input_key_build: 0x10e19c (F8) is \033[19~
1754597435.569294 input_key_build: 0x10e19d (F9) is \033[20~
1754597435.569298 input_key_build: 0x10e19e (F10) is \033[21~
1754597435.569303 input_key_build: 0x10e19f (F11) is \033[23~
1754597435.569307 input_key_build: 0x10e1a0 (F12) is \033[24~
1754597435.569311 input_key_build: 0x10e1a1 (IC) is \033[2~
1754597435.569314 input_key_build: 0x10e1a2 (DC) is \033[3~
1754597435.569318 input_key_build: 0x10e1a3 (Home) is \033[1~
1754597435.569321 input_key_build: 0x10e1a4 (End) is \033[4~
1754597435.569325 input_key_build: 0x10e1a5 (NPage) is \033[6~
1754597435.569329 input_key_build: 0x10e1a6 (PPage) is \033[5~
1754597435.569332 input_key_build: 0x10e1a7 (BTab) is \033[Z
1754597435.569338 input_key_build: 0x10e1a8 (Up) is \033[A
1754597435.569342 input_key_build: 0x10e1a9 (Down) is \033[B
1754597435.569345 input_key_build: 0x10e1aa (Left) is \033[D
1754597435.569349 input_key_build: 0x10e1ab (Right) is \033[C
1754597435.569353 input_key_build: 0x10e1ac (KP/) is /
1754597435.569356 input_key_build: 0x10e1ad (KP*) is *
1754597435.569360 input_key_build: 0x10e1ae (KP-) is -
1754597435.569364 input_key_build: 0x10e1af (KP7) is 7
